duplicate_title,duplicate_db,original_title,original_db,reason
Catheter Length In-Vein Impacts Ultrasound-Guided Peripheral Intravenous Catheter Survival,Embase,Catheter Length In-Vein Impacts Ultrasound-Guided Peripheral Intravenous Catheter Survival.,PubMed,DOI match: 10.1016/j.jen.2021.06.001
Catheter failure in the administration of hyperosmotic drugs through a peripheral vein and vascular selection: A retrospective cohort study,Embase,Catheter failure in the administration of hyperosmotic drugs through a peripheral vein and vascular selection: A retrospective cohort study.,PubMed,DOI match: 10.5582/ddt.2021.01080
Damage to subcutaneous tissue at the catheterization site during chemotherapy: A prospective observational study using ultrasonography,Embase,Damage to subcutaneous tissue at the catheterization site during chemotherapy: A prospective observational study using ultrasonography.,PubMed,DOI match: 10.1111/jjns.12436
Long peripheral catheters for intravenous access in adults and children: A systematic review of the literature,Embase,Long peripheral catheters for intravenous access in adults and children: A systematic review of the literature.,PubMed,DOI match: 10.1177/1129729820927272
Extended dwell and standard ultrasound guided peripheral intravenous catheters: Comparison of durability and reliability,Embase,Extended dwell and standard ultrasound guided peripheral intravenous catheters: Comparison of durability and reliability.,PubMed,DOI match: 10.1016/j.ajem.2021.05.005
Early recognition of peripheral intravenous catheter failure using serial ultrasonographic assessments,Embase,Early recognition of peripheral intravenous catheter failure using serial ultrasonographic assessments.,PubMed,DOI match: 10.1371/journal.pone.0253243
Evaluating the Role of the Guidewire in Peripheral Intravenous Access: A Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,Embase,Evaluating the Role of the Guidewire in Peripheral Intravenous Access: a Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,Cochrane,Title similarity (1.00): 'Evaluating the Role of the Guidewire in Peripheral Intraveno...'
"Venous blood gas parameters, electrolytes, glucose and lactate concentration in sick neonatal foals: Direct venipuncture versus push-pull technique",Embase,"Venous blood gas parameters, electrolytes, glucose and lactate concentration in sick neonatal foals: Direct venipuncture versus push-pull technique.",PubMed,DOI match: 10.1111/evj.13332
Ultrasound-guided placement of peripherally inserted intravenous catheters increase catheter dwell time in children,Embase,Ultrasound-guided placement of peripherally inserted intravenous catheters increase catheter dwell time in children.,PubMed,DOI match: 10.1177/1129729820929826
Introduction of precordial Doppler ultrasound to confirm correct peripheral venous access during general anesthesia in children: A preliminary study,Embase,Introduction of precordial Doppler ultrasound to confirm correct peripheral venous access during general anesthesia in children: A preliminary study.,PubMed,DOI match: 10.1371/journal.pone.0248999
Vortex dynamics and transport phenomena in stenotic aortic models using Echo-PIV,Embase,Vortex dynamics and transport phenomena in stenotic aortic models using Echo-PIV.,PubMed,DOI match: 10.1088/1361-6560/abd670
"A missing piece: Fracture of peripheral intravenous cannula, a case report",Embase,"A missing piece: Fracture of peripheral intravenous cannula, a case report.",PubMed,DOI match: 10.1016/j.ijscr.2020.12.030
The Effect of Catheter Length Placed Into the Vein on Peripheral Ultrasound-Guided Catheter Survival Time: A Prospective Observational Study,Embase,The Effect of Catheter Length Placed Into the Vein on Peripheral Ultrasound-Guided Catheter Survival Time: A Prospective Observational Study.,PubMed,DOI match: 10.1016/j.jen.2020.05.015
Subdural extravasation of crystalloids and blood products through a scalp peripheral intravenous catheter into the subdural space of a neonate on veno-arterial extracorporeal membrane oxygenation,Embase,Subdural extravasation of crystalloids and blood products through a scalp peripheral intravenous catheter into the subdural space of a neonate on veno-arterial extracorporeal membrane oxygenation.,PubMed,DOI match: 10.3233/npm-200610
Midline or long peripheral catheters in difficult venous access conditions? A comparative study in patients with acute cardiovascular diseases,Embase,Midline or long peripheral catheters in difficult venous access conditions? A comparative study in patients with acute cardiovascular diseases.,PubMed,DOI match: 10.1016/j.ajic.2019.12.025
Evaluation of a thermosensitive liquid crystal film for catheterization site assessment immediately following chemotherapy administration: An observational study,Embase,Evaluation of a thermosensitive liquid crystal film for catheterization site assessment immediately following chemotherapy administration: An observational study.,PubMed,DOI match: 10.1016/j.ejon.2020.101802
Use of Intracardiac Echocardiography or Left Atrial Appendage Radiography to Guide Implantation of a Left Atrial Appendage Occlusion Device,Embase,Use of Intracardiac Echocardiography or Left Atrial Appendage Radiography to Guide Implantation of a Left Atrial Appendage Occlusion Device.,Embase,Title similarity (1.00): 'Use of Intracardiac Echocardiography or Left Atrial Appendag...'
Ultralong Versus Standard Long Peripheral Intravenous Catheters: A Randomized Controlled Trial of Ultrasonographically Guided Catheter Survival,Embase,Ultralong Versus Standard Long Peripheral Intravenous Catheters: A Randomized Controlled Trial of Ultrasonographically Guided Catheter Survival.,PubMed,DOI match: 10.1016/j.annemergmed.2019.11.013
Mini-midline in difficult intravenous access patients in emergency department: A prospective analysis,Embase,Mini-midline in difficult intravenous access patients in emergency department: A prospective analysis.,PubMed,DOI match: 10.1177/1129729819883129
Insertion of a 1.9F central venous catheter via the internal jugular vein in neonates,Embase,Insertion of a 1.9F central venous catheter via the internal jugular vein in neonates.,PubMed,DOI match: 10.1177/0300060520925380
Practical guide for safe central venous catheterization and management 2017,Embase,Practical guide for safe central venous catheterization and management 2017.,PubMed,DOI match: 10.1007/s00540-019-02702-9
The Utility of Midline Intravenous Catheters in Critically Ill Emergency Department Patients,Embase,The Utility of Midline Intravenous Catheters in Critically Ill Emergency Department Patients.,PubMed,DOI match: 10.1016/j.annemergmed.2019.09.018
The clinical performance of midline catheters—An observational study,Embase,The clinical performance of midline catheters-An observational study.,PubMed,DOI match: 10.1111/aas.13516
Ultrasound-Detected Venous Changes Associated with Peripheral Intravenous Placement in Children,Embase,Ultrasound-detected venous changes associated with peripheral intravenous placement in children.,PubMed,PMID match: 32324455
Preventing peripheral intravenous catheter failure by reducing mechanical irritation,Embase,Preventing peripheral intravenous catheter failure by reducing mechanical irritation.,PubMed,DOI match: 10.1038/s41598-019-56873-2
Effect of venous access site on postintervention stent thrombosis for nonthrombotic iliac vein stenting,Embase,Effect of venous access site on postintervention stent thrombosis for nonthrombotic iliac vein stenting.,PubMed,DOI match: 10.1016/j.jvsv.2019.03.014
Utility of color flow Doppler ultrasound to identify peripheral intravenous catheter position in adult surgical patients,Embase,Utility of color flow Doppler ultrasound to identify peripheral intravenous catheter position in adult surgical patients.,PubMed,DOI match: 10.1177/2050312120912123
Short-Term Flow Changes in Monochorionic Survivor Twins after Ultrasound-Guided Umbilical Cord Occlusion,Embase,Short-Term Flow Changes in Monochorionic Survivor Twins after Ultrasound-Guided Umbilical Cord Occlusion.,PubMed,DOI match: 10.1159/000500021
Peripherally inserted central catheter–related thrombosis rate in modern vascular access era—when insertion technique matters: A systematic review and meta-analysis,Embase,Peripherally inserted central catheter-related thrombosis rate in modern vascular access era-when insertion technique matters: A systematic review and meta-analysis.,PubMed,DOI match: 10.1177/1129729819852203
Should the CDC’s recommendations for promptly removing unnecessary centrally inserted central catheters be enhanced? Ultrasound-guided peripheral venous cannulation to fully comply,Embase,Should the CDC's recommendations for promptly removing unnecessary centrally inserted central catheters be enhanced? Ultrasound-guided peripheral venous cannulation to fully comply.,PubMed,DOI match: 10.1177/1129729819863556
Development of an algorithm using ultrasonography-assisted peripheral intravenous catheter placement for reducing catheter failure,Embase,Development of an algorithm using ultrasonography-assisted peripheral intravenous catheter placement for reducing catheter failure.,PubMed,DOI match: 10.5582/ddt.2019.01094
Reaching one peripheral intravenous catheter per patient visit with multi-modal strategy: The piv5rights bundle,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Ultrasound guided short midline catheters as a solution for patients with venous patrimony problems,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Observational study and analysis of complications in patients candidate for the positioning of picc-port,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Picc placement-initial experience of a multidisciplinary vascular access team,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
New electronic optical sensor for the early detection of peripheral iv infiltration,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Peripheral intravenous catheter securement with tissue adhesive compared to conventional dressing: A randomized controlled trial,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Picc-port: A retrospective analysis of the single institute on the utility and security in 716 cancer patients,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
"Incidence, characteristics and timing of peripheral intravenous catheter failure in patients receiving chemotherapy with hematological malignancy: A prospective descriptive study",Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Ultra long versus standard long peripheral intravenous catheters: A randomized controlled trial of ultrasound-guided catheter survival,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Thermosensitive liquid crystal film evaluation for catheterization site condition just after chemotherapy,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Automated ultrasonographic detection of thrombus and subcutaneous edema due to using peripheral intravenous catheter,Embase,New electronic optical sensor for the early detection of peripheral iv infiltration,Cochrane,DOI match: 10.1177/1129729820953
Ultrasound-guided peripheral venous cannulation in critically ill patients: a practical guideline,Embase,Ultrasound-guided peripheral venous cannulation in critically ill patients: a practical guideline.,PubMed,DOI match: 10.1186/s13089-019-0144-5
346 Ultra Long Versus Standard Long Peripheral Intravenous Catheters: A Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,Embase,346 Ultra Long Versus Standard Long Peripheral Intravenous Catheters: a Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,Cochrane,DOI match: 10.1016/j.annemergmed.2019.08.305
Ultrasonographic Detection of Micro-Bubbles in the Right Atrium to Confirm Peripheral Venous Catheter Position in Children,Embase,Ultrasonographic Detection of Micro-Bubbles in the Right Atrium to Confirm Peripheral Venous Catheter Position in Children.,PubMed,DOI match: 10.1097/ccm.0000000000003916
The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department,Embase,The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department.,PubMed,DOI match: 10.1016/j.annemergmed.2019.02.003
Contrast Extravasation as a Complication of Emergency Nurse-Performed Ultrasound-Guided Peripheral Intravenous Catheter Placement,Embase,Contrast Extravasation as a Complication of Emergency Nurse-Performed Ultrasound-Guided Peripheral Intravenous Catheter Placement.,PubMed,DOI match: 10.1016/j.jen.2019.05.016
A new device for ultrasound-guided peripheral venous access,Embase,A new device for ultrasound-guided peripheral venous access.,PubMed,DOI match: 10.1177/1129729818801302
Standard long IV catheters versus extended dwell catheters: A randomized comparison of ultrasound-guided catheter survival,Embase,Standard long IV catheters versus extended dwell catheters: A randomized comparison of ultrasound-guided catheter survival.,PubMed,DOI match: 10.1016/j.ajem.2018.07.031
Ultrasonographic assessment of an induration caused by extravasation of a nonvesicant anticancer drug,Embase,Ultrasonographic assessment of an induration caused by extravasation of a nonvesicant anticancer drug: A case report.,PubMed,DOI match: 10.1097/md.0000000000015043
"Impact of saline flushing volume on PIVC failure, vascular calibre and tissue injury - a pre-clinical human trial",Embase,Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Cochrane,DOI match: 10.1177/1129729818778929
"The incidence and cumulative risk of primary bloodstream and venous infections in 12,623 peripheral intravenous catheters in Australia",Embase,Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Cochrane,DOI match: 10.1177/1129729818778929
Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Embase,Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Cochrane,DOI match: 10.1177/1129729818778929
From insertion to removal of emergency department inserted peripheral intravenous catheters. a multi-centre survival analysis of an admitted cohort,Embase,Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Cochrane,DOI match: 10.1177/1129729818778929
JLB®: A solution for ultrasound-guided cannulation of veins of medium and large caliber in the emergency department,Embase,Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Cochrane,DOI match: 10.1177/1129729818778929
Extended subcutaneous route in PICC insertion: A subcutaneous tunnel without surgical maneuvers,Embase,Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Cochrane,DOI match: 10.1177/1129729818778929
Risk of midline catheter-related bloodstream infections in medical and surgical patients. a monocentric prospective study,Embase,Interventional study of care protocols including using ultrasonography to reduce mechanical irritation for the prevention of peripheral intravenous catheter failure,Cochrane,DOI match: 10.1177/1129729818778929
Characteristics of subcutaneous tissues at the site of insertion of peripheral infusion in patients undergoing paclitaxel and carboplatin chemotherapy,Embase,Characteristics of subcutaneous tissues at the site of insertion of peripheral infusion in patients undergoing paclitaxel and carboplatin chemotherapy.,PubMed,DOI match: 10.5582/ddt.2019.01064
Efficacy and safety of ultrasound-guided totally implantable venous access ports via the right innominate vein in adult patients with cancer: Our single-center experience and protocol,Embase,Efficacy and safety of ultrasound-guided totally implantable venous access ports via the right innominate vein in adult patients with cancer: Single-centre experience and protocol,Embase,Title similarity (0.88): 'Efficacy and safety of ultrasound-guided totally implantable...'
Point-of-Care Ultrasound Use in Neonatal Peripheral Intravenous Extravasation Injuries: A Case Series,Embase,Point-of-Care Ultrasound Use in Neonatal Peripheral Intravenous Extravasation Injuries: A Case Series.,PubMed,DOI match: 10.1097/won.0000000000000475
From insertion to removal: A multicenter survival analysis of an admitted cohort with peripheral intravenous catheters inserted in the emergency department,Embase,From insertion to removal: A multicenter survival analysis of an admitted cohort with peripheral intravenous catheters inserted in the emergency department.,PubMed,DOI match: 10.1017/ice.2018.190
Ultrasound-guided Peripheral IV vs. Standard Technique in Difficult Vascular Access Patients by ICU Nurses,Embase,Ultrasound-guided Peripheral IV vs. Standard Technique in Difficult Vascular Access Patients by ICU Nurses,Cochrane,Title similarity (1.00): 'Ultrasound-guided Peripheral IV vs. Standard Technique in Di...'
Ultrasound-guided intravenous catheter survival impacted by amount of catheter residing in the vein,Embase,Ultrasound-guided intravenous catheter survival impacted by amount of catheter residing in the vein.,PubMed,DOI match: 10.1136/emermed-2017-206803
Mid-Term Results of Peripheral Cannulation After Robotic Cardiac Surgery,Embase,Mid-Term Results of Peripheral Cannulation After Robotic Cardiac Surgery.,PubMed,DOI match: 10.21470/1678-9741-2018-0061
A prospective feasibility trial of a novel intravascular catheter system with retractable coiled tip guidewire placed in difficult intravascular access (DIVA) patients in the Emergency Department,Embase,A prospective feasibility trial of a novel intravascular catheter system with retractable coiled tip guidewire placed in difficult intravascular access (DIVA) patients in the Emergency Department.,PubMed,DOI match: 10.1007/s11739-017-1747-0
Peripherally inserted central catheters in the treatment of children with cancer: Results of a multicenter study,Embase,Peripherally inserted central catheters in the treatment of children with cancer: Results of a multicenter study.,PubMed,DOI match: 10.1177/1129729818757970
Ultrasound-guided versus landmark approach for peripheral intravenous access by critical care nurses: A randomised controlled study,Embase,Ultrasound-guided versus landmark approach for peripheral intravenous access by critical care nurses: a randomised controlled study.,PubMed,DOI match: 10.1136/bmjopen-2017-020220
Risk of contrast extravasation with computed tomography in ultrasound guided vascular access,Embase,Factors associated with increased survival time of ultrasound-guided peripheral intravenous lines,Embase,DOI match: 10.1111/acem.13424
The utility of peripheral intravenous catheters inserted in the emergency department and their survivorship in the hospital,Embase,Factors associated with increased survival time of ultrasound-guided peripheral intravenous lines,Embase,DOI match: 10.1111/acem.13424
A pilot study to evaluate the feasibility of utilizing ultrasound to visualize intraosseous flow following intraosseous needle placement in adults,Embase,Factors associated with increased survival time of ultrasound-guided peripheral intravenous lines,Embase,DOI match: 10.1111/acem.13424
Targeting zero catheter-related bloodstream infections in pediatric intensive care unit: a retrospective matched case-control study,Embase,Targeting zero catheter-related bloodstream infections in pediatric intensive care unit: a retrospective matched case-control study.,PubMed,DOI match: 10.5301/jva.5000797
Exploring the causes of peripheral intravenous catheter failure based on shape of catheters removed from various insertion sites,Embase,Exploring the causes of peripheral intravenous catheter failure based on shape of catheters removed from various insertion sites.,PubMed,DOI match: 10.5582/ddt.2018.01024
The feasibility and safety of PICCs accessed via the superficial femoral vein in patients with superior vena cava syndrome,Embase,The feasibility and safety of PICCs accessed via the superficial femoral vein in patients with superior vena cava syndrome.,PubMed,DOI match: 10.5301/jva.5000810
Ultrasound-guided placement of long peripheral cannulas in children over the age of 10 years admitted to the emergency department: A pilot study,Embase,Ultrasound-guided placement of long peripheral cannulas in children over the age of 10 years admitted to the emergency department: a pilot study.,PubMed,DOI match: 10.1136/bmjpo-2017-000244
Procedural competency in ultrasound-guided peripheral intravenous catheter insertion in a pediatric emergency department,Embase,Procedural competency for ultrasound-guided peripheral intravenous catheter insertion for nurses in a pediatric emergency department,Embase,Title similarity (0.86): 'Procedural competency in ultrasound-guided peripheral intrav...'
Introduction of color-flow injection test to confirm intravascular location of peripherally placed intravenous catheters,Embase,Introduction of color-flow injection test to confirm intravascular location of peripherally placed intravenous catheters.,PubMed,DOI match: 10.1111/pan.13188
Point-Of-Care Ultrasound as an Adjunct in the Diagnosis of Neonatal and Pediatric Superficial Soft Tissue Infection: A Report of Two Cases,Embase,Point-Of-Care Ultrasound as an Adjunct in the Diagnosis of Neonatal and Pediatric Superficial Soft Tissue Infection: A Report of Two Cases.,PubMed,PMID match: 28759423
Comparison between retrograde and antegrade peripheral venous cannulation in intensive care unit patients: Assessment of thrombus formation,Embase,Comparison Between Retrograde and Antegrade Peripheral Venous Cannulation in Intensive Care Unit Patients: Assessment of Thrombus Formation.,PubMed,DOI match: 10.1213/ane.0000000000001703
Decreasing Peripherally Inserted Central Catheter Use With Ultrasound-Guided Peripheral Intravenous Lines: A Quality Improvement Project in the Acute Care Setting,Embase,Decreasing Peripherally Inserted Central Catheter Use With Ultrasound-Guided Peripheral Intravenous Lines: A Quality Improvement Project in the Acute Care Setting.,PubMed,DOI match: 10.1097/nna.0000000000000489
Continuous thermographic observation may predict extravasation in chemotherapy-treated patients,Embase,Continuous thermographic observation may predict extravasation in chemotherapy-treated patients.,PubMed,DOI match: 10.1016/j.ejon.2017.02.009
Ultrasound-guided deep-arm veins insertion of long peripheral catheters in patients with difficult venous access after cardiac surgery,Embase,Ultrasound-guided deep-arm veins insertion of long peripheral catheters in patients with difficult venous access after cardiac surgery.,PubMed,DOI match: 10.1016/j.hrtlng.2016.09.003
Comparative study of complications in CV catheter insertion for pediatric patients: Real-time ultrasound-guided versus venography-guided approach,Embase,Comparative Study of Complications in CV Catheter Insertion for Pediatric Patients: Real-time Ultrasound-guided Versus Venography-guided Approach.,PubMed,DOI match: 10.24563/yam.2017.12.004
Low-angled peripheral intravenous catheter tip placement decreases phlebitis,Embase,Low-angled peripheral intravenous catheter tip placement decreases phlebitis.,PubMed,DOI match: 10.5301/jva.5000601
The Midline Catheter: A Clinical Review,Embase,The Midline Catheter: A Clinical Review.,PubMed,DOI match: 10.1016/j.jemermed.2016.05.029
Extravasation Risk Using Ultrasound-guided Peripheral Intravenous Catheters for Computed Tomography Contrast Administration,Embase,Extravasation Risk Using Ultrasound-guided Peripheral Intravenous Catheters for Computed Tomography Contrast Administration.,PubMed,DOI match: 10.1111/acem.13000
Low-temperature infiltration identified using infrared thermography in patients with subcutaneous edema revealed ultrasonographically: A case report,Embase,Low-temperature infiltration identified using infrared thermography in patients with subcutaneous edema revealed ultrasonographically: A case report.,PubMed,DOI match: 10.5582/ddt.2016.01033
Ultrasonography-Guided Peripheral Intravenous Access in Children: A Randomized Controlled Trial,Embase,Ultrasonography-Guided Peripheral Intravenous Access in Children: A Randomized Controlled Trial.,PubMed,DOI match: 10.1097/nan.0000000000000126
A randomised controlled trial of radial artery cannulation guided by Doppler vs palpation vs ultrasound,Embase,A randomised controlled trial of radial artery cannulation guided by Doppler vs. palpation vs. ultrasound,Cochrane,DOI match: 10.1111/anae.13062
Complications of peripherally inserted central catheters in adults with cystic fibrosis or bronchiectasis,Embase,Complications of peripherally inserted central catheters in adults with cystic fibrosis or bronchiectasis.,PubMed,DOI match: 10.5301/jva.5000347
Difficult peripheral venous access: clinical evaluation of a catheter inserted with the Seldinger method under ultrasound guidance,Embase,Difficult peripheral venous access: clinical evaluation of a catheter inserted with the Seldinger method under ultrasound guidance.,PubMed,DOI match: 10.1016/j.jcrc.2014.04.022
Fractures of totally implantable central venous ports: More than fortuity. A three-year single center experience,Embase,Fractures of totally implantable central venous ports: more than fortuity. A three-year single center experience.,PubMed,DOI match: 10.5301/jva.5000261
A Multicomponent Bundle to Minimize Catheter-Related Bloodstream Infection in a Pediatric Intensive Care Unit,Embase,The SICA Protocol: A Bundle of Interventions for the Safe Insertion of Central Venous Catheters in Adult Patients,Embase,DOI match: 10.5301/jva.5000275
The 1st PICC Team in Czech Republic – Our Experience,Embase,The SICA Protocol: A Bundle of Interventions for the Safe Insertion of Central Venous Catheters in Adult Patients,Embase,DOI match: 10.5301/jva.5000275
Impact of Ultrasound in Peripherally Inserted Central Catheter (PICC) Placement. Evidence from a Randomized Trial,Embase,The SICA Protocol: A Bundle of Interventions for the Safe Insertion of Central Venous Catheters in Adult Patients,Embase,DOI match: 10.5301/jva.5000275
"3rd World Congress on Vascular Access, WoCoVA 2014",Embase,The SICA Protocol: A Bundle of Interventions for the Safe Insertion of Central Venous Catheters in Adult Patients,Embase,DOI match: 10.5301/jva.5000275
Experimental study of underwater transmission characteristics of high-frequency 30 MHz polyurea ultrasonic transducer.,Embase,Experimental study of underwater transmission characteristics of high-frequency 30 MHz polyurea ultrasonic transducer.,PubMed,PMID match: 24035608
Experimental study of underwater transmission characteristics of high-frequency 30 MHz polyurea ultrasonic transducer,Embase,Experimental study of underwater transmission characteristics of high-frequency 30 MHz polyurea ultrasonic transducer.,PubMed,DOI match: 10.1016/j.ultras.2013.08.006
"Venous International Assessment, VIA scale, validated classification procedure for the peripheral venous system",Embase,"Venous International Assessment, VIA scale, validated classification procedure for the peripheral venous system.",PubMed,DOI match: 10.5301/jva.5000173
Is ultrasound-guided central venous port placement effective to avoid pinch-off syndrome?,Embase,Is ultrasound-guided central venous port placement effective to avoid pinch-off syndrome?,PubMed,DOI match: 10.5301/jva.5000201
Difficult peripheral venous access: Clinical evaluation of a catheter inserted with the Seldinger method under ultrasound guidance,Embase,Difficult peripheral venous access: clinical evaluation of a catheter inserted with the Seldinger method under ultrasound guidance.,PubMed,DOI match: 10.1016/j.jcrc.2014.04.022
Difficult peripheral venous access: Clinical evaluation of a catheter inserted with the Seldinger method under ultrasound guidance,Embase,Difficult peripheral venous access: clinical evaluation of a catheter inserted with the Seldinger method under ultrasound guidance.,PubMed,DOI match: 10.1016/j.jcrc.2014.04.022
Something's missing: Peripheral intravenous catheter fracture,Embase,Something's missing: peripheral intravenous catheter fracture.,PubMed,DOI match: 10.3122/jabfm.2013.06.130097
"Catheter-related complications in cancer patients on home parenteral nutrition: A prospective study of over 51,000 catheter days",Embase,"Catheter-related complications in cancer patients on home parenteral nutrition: a prospective study of over 51,000 catheter days.",PubMed,DOI match: 10.1177/0148607112460552
Assertiveness and peripheral intravenous catheters dwell time with ultrasonography-guided insertion in children and adolescents,Embase,[Assertiveness and peripheral intravenous catheters dwell time with ultrasonography-guided insertion in children and adolescents].,PubMed,PMID match: 24601127
Decrease in central venous catheter placement due to use of ultrasound guidance for peripheral intravenous catheters,Embase,Decrease in central venous catheter placement due to use of ultrasound guidance for peripheral intravenous catheters.,PubMed,DOI match: 10.1016/j.ajem.2012.04.016
Update on totally implantable venous access devices,Embase,Update on totally implantable venous access devices.,PubMed,DOI match: 10.1016/j.suronc.2012.02.003
Confirming extravasation from a peripheral venous catheter: Another role for ultrasonography,Embase,Confirming extravasation from a peripheral venous catheter: another role for ultrasonography.,PubMed,DOI match: 10.1111/j.1365-2044.2012.07092.x
TIPS in children,Embase,How to keep out of trouble,Embase,DOI match: 10.1007/s00270-011-0216-9
"Catheter-related complications in home parenteral nutrition in cancer patients: A prospective study of over 51,000 catheter days",Embase,"Catheter-related complications in cancer patients on home parenteral nutrition: a prospective study of over 51,000 catheter days.",PubMed,Title similarity (0.94): 'Catheter-related complications in home parenteral nutrition ...'
The electrocardiographic method for positioning the tip of central venous catheters,Embase,The electrocardiographic method for positioning the tip of central venous catheters.,PubMed,DOI match: 10.5301/jva.2011.8381
Kodamaea Ohmeri Fungemia in an Immunocompetent Patient Treated with Micafungin: Case Report and Review of the Literature,Embase,Kodamaea ohmeri fungemia in an immunocompetent patient treated with micafungin: case report and review of the literature.,PubMed,DOI match: 10.1007/s11046-010-9315-4
Persistent left superior vena cava connected through the left upper pulmonary vein to the left atrium: An unusual pathway for paradoxical embolization and a rare cause of recurrent transient ischaemic attack,Embase,Persistent left superior vena cava connected through the left upper pulmonary vein to the left atrium: an unusual pathway for paradoxical embolization and a rare cause of recurrent transient ischaemic attack.,PubMed,DOI match: 10.1093/ejechocard/jeq079
Ultrasound-guided peripheral intravenous access in the intensive care unit,Embase,Ultrasound-guided peripheral intravenous access in the intensive care unit.,PubMed,DOI match: 10.1016/j.jcrc.2009.09.003
Central vein dilatation prior to concomitant port implantation,Embase,Central vein dilatation prior to concomitant port implantation.,PubMed,DOI match: 10.1007/s00270-009-9699-z
Ultrasonography-guided peripheral intravenous catheter survival in ED patients with difficult access,Embase,Ultrasonography-guided peripheral intravenous catheter survival in ED patients with difficult access.,PubMed,DOI match: 10.1016/j.ajem.2008.09.001
Long-Term Results using Catheter-directed Thrombolysis in 103 Lower Limbs with Acute Iliofemoral Venous Thrombosis,Embase,Long-term results using catheter-directed thrombolysis in 103 lower limbs with acute iliofemoral venous thrombosis.,PubMed,DOI match: 10.1016/j.ejvs.2009.09.015
"ESPEN Guidelines on Parenteral Nutrition: Central Venous Catheters (access, care, diagnosis and therapy of complications)",Embase,"ESPEN Guidelines on Parenteral Nutrition: central venous catheters (access, care, diagnosis and therapy of complications).",PubMed,DOI match: 10.1016/j.clnu.2009.03.015
"Sub-piexl methods for improving vector quality in echo PIV flow, imaging technology.",Embase,"Sub-piexl methods for improving vector quality in echo PIV flow, imaging technology.",PubMed,PMID match: 19963463
Access for starting kidney replacement therapy: vascular and peritoneal temporal access in pre-dialysis,Embase,[Access for starting kidney replacement therapy: vascular and peritoneal temporal access in pre-dialysis].,PubMed,PMID match: 19018747
Success of ultrasound-guided peripheral intravenous access with skin marking,Embase,Success of ultrasound-guided peripheral intravenous access with skin marking.,PubMed,DOI match: 10.1111/j.1553-2712.2008.00174.x
Ultrasonographically Guided Insertion of a 15-cm Catheter Into the Deep Brachial or Basilic Vein in Patients With Difficult Intravenous Access,Embase,Ultrasonographically guided insertion of a 15-cm catheter into the deep brachial or basilic vein in patients with difficult intravenous access.,PubMed,PMID match: 17433498
VeinViewer Assisted Intravenous Catheter Placement in the Pediatric Emergency Department,Embase,VeinViewer Assisted Intravenous Catheter Placement in the Pediatric Emergency Department,Cochrane,Title similarity (1.00): 'VeinViewer Assisted Intravenous Catheter Placement in the Pe...'
Retraction:Tei index for prenatal diagnosis of acute fetal hypoxia due to intermittent umbilical cord occlusion in an animal model,Embase,Tei index for prenatal diagnosis of acute fetal hypoxia due to intermittent umbilical cord occlusion in an animal model.,PubMed,PMID match: 17611944
Radiologic placement of implantable chest ports in pediatric patients,Embase,Radiologic placement of implantable chest ports in pediatric patients.,PubMed,PMID match: 11264096
Implantation of permanent jugular catheters in patients on regular dialysis treatment: Ten years' experience,Embase,Implantation of permanent jugular catheters in patients on regular dialysis treatment: ten years' experience.,PubMed,Title similarity (1.00): 'Implantation of permanent jugular catheters in patients on r...'
